"DateTime","Year","Month","Day","Salinity","Norm_TideRange24","Norm_PowLagDischarge72","Norm_RollingPowDischarge14","Norm_PowInflows","Norm_RollingPowInflows7","Norm_ConsecutiveLowInflowHours","DayOfYear_sin","DayOfYear_cos"
2007-03-30 10:00:00,2007,3,30,0.08,NA,NA,NA,-1.48788061731362,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 11:00:00,2007,3,30,0.08,NA,NA,NA,-1.48616704362881,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 12:00:00,2007,3,30,0.08,NA,NA,NA,-1.48444332042893,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 13:00:00,2007,3,30,0.08,NA,NA,NA,-1.48270934712392,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 14:00:00,2007,3,30,0.08,NA,NA,NA,-1.47921024080672,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 15:00:00,2007,3,30,0.08,NA,NA,NA,-1.475668891474,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 16:00:00,2007,3,30,0.08,NA,NA,NA,-1.47208444226131,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 17:00:00,2007,3,30,0.08,NA,NA,NA,-1.47027578074643,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 18:00:00,2007,3,30,0.08,NA,NA,NA,-1.468456011772,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 19:00:00,2007,3,30,0.08,NA,NA,NA,-1.46478269316671,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 20:00:00,2007,3,30,0.08,NA,NA,NA,-1.46292891024287,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 21:00:00,2007,3,30,0.08,NA,NA,NA,-1.46106355321128,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 22:00:00,2007,3,30,0.08,NA,NA,NA,-1.45729763128064,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-30 23:00:00,2007,3,30,0.08,NA,NA,NA,-1.45348393831648,NA,-0.58566269816021,0.965703310913397,-0.259648060441248
2007-03-31,2007,3,31,0.08,NA,NA,NA,-1.45155886057389,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 01:00:00,2007,3,31,0.08,NA,NA,NA,-1.44767159167919,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 02:00:00,2007,3,31,0.08,NA,NA,NA,-1.44570913428886,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 03:00:00,2007,3,31,0.08,NA,NA,NA,-1.44174589285998,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 04:00:00,2007,3,31,0.08,NA,NA,NA,-1.43773061721424,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 05:00:00,2007,3,31,0.08,NA,NA,NA,-1.43570310898276,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 06:00:00,2007,3,31,0.08,NA,NA,NA,-1.43160761711645,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 07:00:00,2007,3,31,0.08,NA,NA,NA,-1.42745715174945,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 08:00:00,2007,3,31,0.08,NA,NA,NA,-1.42536091773299,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 09:00:00,2007,3,31,0.08,-0.449227680657986,NA,NA,-1.42112565302679,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 10:00:00,2007,3,31,0.08,-0.449227680657986,NA,NA,-1.41683223772903,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 11:00:00,2007,3,31,0.08,-0.449227680657986,NA,NA,-1.41466330561582,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 12:00:00,2007,3,31,0.08,-0.449227680657986,NA,NA,-1.41028013270663,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 13:00:00,2007,3,31,0.08,-0.449227680657986,NA,NA,-1.40806553958585,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 14:00:00,2007,3,31,0.08,-0.134742012047067,NA,NA,-1.40358943742827,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 15:00:00,2007,3,31,0.08,-0.134742012047067,NA,NA,-1.40132755838973,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 16:00:00,2007,3,31,0.08,-0.134742012047067,NA,NA,-1.39904954224524,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 17:00:00,2007,3,31,0.08,-0.134742012047067,NA,NA,-1.39444432420772,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 18:00:00,2007,3,31,0.08,-0.134742012047067,NA,NA,-1.38977220162715,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 19:00:00,2007,3,31,0.08,-0.134742012047067,NA,NA,-1.38977220162715,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 20:00:00,2007,3,31,0.08,-0.45847725914654,NA,NA,-1.38503153867308,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 21:00:00,2007,3,31,0.08,-0.661967985894785,NA,NA,-1.38263497796504,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 22:00:00,2007,3,31,0.08,-0.661967985894785,NA,NA,-1.38022064296684,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-03-31 23:00:00,2007,3,31,0.08,-0.661967985894785,NA,NA,-1.37533776304312,NA,-0.58566269816021,0.960149873671602,-0.279485634851609
2007-04-01,2007,4,1,0.08,-0.661967985894785,NA,NA,-1.37435239050636,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 01:00:00,2007,4,1,0.08,-0.661967985894785,NA,NA,-1.37088012729177,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 02:00:00,2007,4,1,0.08,-0.661967985894785,NA,NA,-1.36737087807236,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 03:00:00,2007,4,1,0.08,-0.661967985894785,NA,NA,-1.36534873302457,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 04:00:00,2007,4,1,0.08,-0.661967985894785,NA,NA,-1.36229219091974,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 05:00:00,2007,4,1,0.08,-0.661967985894785,NA,NA,-1.35946544524416,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 06:00:00,2007,4,1,0.08,-0.661967985894785,NA,NA,-1.35661451734641,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 07:00:00,2007,4,1,0.08,-0.661967985894785,NA,NA,-1.35400148847655,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 08:00:00,2007,4,1,0.08,-0.587971357986331,NA,NA,-1.35163221072268,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 09:00:00,2007,4,1,0.08,-0.375231052749533,NA,NA,-1.34924610080244,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 10:00:00,2007,4,1,0.08,-0.375231052749533,NA,NA,-1.34603809094446,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 11:00:00,2007,4,1,0.08,-0.375231052749533,NA,NA,-1.34388235679785,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 12:00:00,2007,4,1,0.08,-0.375231052749533,NA,NA,-1.34007648135927,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 13:00:00,2007,4,1,0.08,-0.375231052749533,NA,NA,-1.3376071279973,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 14:00:00,2007,4,1,0.08,-0.800711663223127,NA,NA,-1.3351197379236,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 15:00:00,2007,4,1,0.08,-0.65271840740622,NA,NA,-1.33261409048987,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 16:00:00,2007,4,1,0.08,-0.65271840740622,NA,NA,-1.33065248768372,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 17:00:00,2007,4,1,0.08,-0.65271840740622,NA,NA,-1.32754712187687,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 18:00:00,2007,4,1,0.08,-0.65271840740622,NA,NA,-1.32498534007314,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 19:00:00,2007,4,1,0.08,-0.65271840740622,NA,NA,-1.32153975588894,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 20:00:00,2007,4,1,0.08,-0.65271840740622,NA,NA,-1.31922347568884,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 21:00:00,2007,4,1,0.08,-0.65271840740622,NA,NA,-1.31630619501105,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 22:00:00,2007,4,1,0.08,-0.65271840740622,NA,NA,-1.31395461186904,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-01 23:00:00,2007,4,1,0.08,-0.65271840740622,NA,NA,-1.31099264111847,NA,-0.58566269816021,0.954188977605175,-0.299204603936489
2007-04-02,2007,4,2,0.08,-0.65271840740622,NA,NA,-1.30740481766817,NA,-0.58566269816021,0.947823152339721,-0.318796599556509
2007-04-02 01:00:00,2007,4,2,0.08,-0.65271840740622,NA,NA,-1.30438665600749,NA,-0.58566269816021,0.947823152339721,-0.318796599556509
2007-04-02 02:00:00,2007,4,2,0.08,-0.65271840740622,NA,NA,-1.30164797894903,NA,-0.58566269816021,0.947823152339721,-0.318796599556509
2007-04-02 03:00:00,2007,4,2,0.08,-0.65271840740622,NA,NA,-1.29765418341532,NA,-0.58566269816021,0.947823152339721,-0.318796599556509
2007-04-02 04:00:00,2007,4,2,0.08,-0.65271840740622,NA,NA,-1.29455105545453,NA,-0.58566269816021,0.947823152339721,-0.318796599556509
