"exceed_flux","smooth"
0,0.0297863558451355
80.1603206412826,0.0295604412918038
160.320641282565,0.0293345269324131
240.480961923848,0.0291086131610488
320.64128256513,0.028882700591355
400.801603206413,0.0286567900522207
480.961923847695,0.0284308825835112
561.122244488978,0.0282049794318439
641.28256513026,0.0279790820464085
721.442885771543,0.0277531920748322
801.603206412826,0.027527311359088
881.763527054108,0.0273014419314477
961.923847695391,0.0270755860104777
1042.08416833667,0.0268497459970788
1122.24448897796,0.0266239244705687
1202.40480961924,0.0263981241848075
1282.56513026052,0.0261723480643663
1362.7254509018,0.025946599200737
1442.88577154309,0.0257208808485854
1523.04609218437,0.0254951964220461
1603.20641282565,0.0252695494910577
1683.36673346693,0.0250439437646072
1763.52705410822,0.0248183830508063
1843.6873747495,0.0245928712911793
1923.84769539078,0.0243674125688115
2004.00801603206,0.0241420111048891
2084.16833667335,0.0239166712552806
2164.32865731463,0.0236913975071567
2244.48897795591,0.0234661944756504
2324.64929859719,0.0232410669005566
2404.80961923848,0.0230160196430702
2484.96993987976,0.0227910576825631
2565.13026052104,0.0225661861134002
2645.29058116232,0.0223414101417925
2725.45090180361,0.0221167350826896
2805.61122244489,0.0218921663567087
2885.77154308617,0.0216677094871012
2965.93186372746,0.0214433700967571
3046.09218436874,0.0212191539052455
3126.25250501002,0.0209950667258917
3206.4128256513,0.0207711144628913
3286.57314629259,0.0205473031084592
3366.73346693387,0.0203236387400157
3446.89378757515,0.0201001275174064
3527.05410821643,0.0198767756801589
3607.21442885772,0.0196535895447731
3687.374749499,0.019430575502047
3767.53507014028,0.0192077400144362
3847.69539078156,0.018985089613448
3927.85571142285,0.0187626308970684
4008.01603206413,0.0185403705272238
4088.17635270541,0.0183183152272748
4168.33667334669,0.0180964717795434
4248.49699398798,0.0178748470228728
4328.65731462926,0.0176534478502195
4408.81763527054,0.0174322812062773
4488.97795591182,0.0172113540851334
4569.13827655311,0.0169906735279559
4649.29859719439,0.0167702466207122
4729.45891783567,0.0165500804919187
4809.61923847695,0.0163301823104209
4889.77955911824,0.0161105592832041
4969.93987975952,0.015891218653234
5050.1002004008,0.0156721676973271
5130.26052104208,0.0154534137240508
5210.42084168337,0.0152349640716524
5290.58116232465,0.0150168261060175
5370.74148296593,0.0147990072186566
5450.90180360721,0.0145815148247207
5531.0621242485,0.0143643563610444
5611.22244488978,0.014147539284217
5691.38276553106,0.0139310710686816
5771.54308617235,0.0137149592048612
5851.70340681363,0.0134992111973113
5931.86372745491,0.0132838345629003
6012.02404809619,0.0130688368290155
6092.18436873747,0.0128542255317956
6172.34468937876,0.0126400082143893
6252.50501002004,0.012426192425239
6332.66533066132,0.0122127857163908
6412.8256513026,0.0119997956418285
6492.98597194389,0.0117872297558333
6573.14629258517,0.0115750956113678
6653.30661322645,0.011363400758484
6733.46693386774,0.0111521527427561
6813.62725450902,0.0109413591037361
6893.7875751503,0.0107310273734337
6973.94789579158,0.0105211650748192
7054.10821643287,0.0103117797203493
7134.26853707415,0.0101028788105155
7214.42885771543,0.00989446983241584
7294.58917835671,0.00968656025834728
7374.749498998,0.00947915754442175
7454.90981963928,0.00927226912920272
7535.07014028056,0.00906590243236377
7615.23046092184,0.00886006485336824
7695.39078156313,0.00865476377016978
7775.55110220441,0.00845000653793372
7855.71142284569,0.00824580048777879
7935.87174348697,0.00804215292553918
8016.03206412826,0.00783907113054643
8096.19238476954,0.00763656235443116
8176.35270541082,0.00743463381994423
8256.5130260521,0.0072332927197972
8336.67334669339,0.00703254621552174
8416.83366733467,0.00683240143634787
8496.99398797595,0.00663286547810069
8577.15430861724,0.00643394540211545
8657.31462925852,0.00623564823417071
8737.4749498998,0.00603798096343932
8817.63527054108,0.005840950541457
8897.79559118236,0.00564456388110836
8977.95591182365,0.00544882785563008
9058.11623246493,0.00525374929763098
9138.27655310621,0.00505933499812892
9218.4368737475,0.00486559170560405
9298.59719438878,0.00467252612506852
9378.75751503006,0.00448014491715219
9458.91783567134,0.00428845469720409
9539.07815631263,0.00409746203440974
9619.23847695391,0.00390717345092374
9699.39879759519,0.00371759542101765
9779.55911823647,0.00352873437024289
9859.71943887776,0.00334059667460847
9939.87975951904,0.00315318865977331
10020.0400801603,0.00296651660025299
10100.2004008016,0.00278058671864069
10180.3607214429,0.00259540518484223
10260.5210420842,0.00241097811532483
10340.6813627255,0.00222731157237959
10420.8416833667,0.00204441156339737
10501.002004008,0.00186228404015793
10581.1623246493,0.00168093489813211
10661.3226452906,0.00150036997579699
10741.4829659319,0.00132059505396363
10821.6432865731,0.00114161585511743
10901.8036072144,0.000963438042770732
10981.9639278557,0.000786067220827724
11062.124248497,0.000609508932961174
11142.2845691383,0.000433768662001123
11222.4448897796,0.000258851829335147
11302.6052104208,8.47637943201242e-05
11382.7655310621,-8.84901462946482e-05
11462.9258517034,-0.000260904758933256
11543.0861723447,-0.000432474873747937
11623.246492986,-0.000603195385162976
11703.4068136273,-0.00077306125240802
11783.5671342685,-0.000942067500040796
11863.7274549098,-0.00111020921845949
11943.8877755511,-0.00127748156440488
12024.0480961924,-0.00144387976145251
12104.2084168337,-0.00160939910049475
12184.368737475,-0.00177403494021325
12264.5290581162,-0.00193778270754171
12344.6893787575,-0.00210063789811908
12424.8496993988,-0.00226259607673347
12505.0100200401,-0.00242365287775688
12585.1703406814,-0.00258380400557067
12665.3306613226,-0.00274304523498231
12745.4909819639,-0.00290137241163302
12825.6513026052,-0.00305878145239698
12905.8116232465,-0.00321526834577171
12985.9719438878,-0.00337082915226019
13066.1322645291,-0.00352546000474448
13146.2925851703,-0.00367915710885121
