"wind_v","smooth"
-0.19305,-0.0153722700366166
-0.184362424849699,-0.0151980393831535
-0.175674849699399,-0.0150244694437414
-0.166987274549098,-0.0148515614519598
-0.158299699398798,-0.0146793166227704
-0.149612124248497,-0.0145077361680877
-0.140924549098196,-0.0143368212941651
-0.132236973947896,-0.0141665731916969
-0.123549398797595,-0.0139969930487063
-0.114861823647295,-0.0138280820467333
-0.106174248496994,-0.0136598413517216
-0.0974866733466934,-0.0134922721202708
-0.0887990981963928,-0.013325375493481
-0.0801115230460922,-0.0131591526103927
-0.0714239478957916,-0.0129936046100469
-0.062736372745491,-0.0128287326314841
-0.0540487975951904,-0.0126645378136299
-0.0453612224448897,-0.0125010212863962
-0.0366736472945891,-0.0123381841554621
-0.0279860721442886,-0.0121760275099467
-0.0192984969939879,-0.0120145524277759
-0.0106109218436873,-0.0118537599722116
-0.00192334669338673,-0.0116936512053189
0.00676422845691388,-0.0115342271888587
0.0154518036072145,-0.0113754889731417
0.0241393787575151,-0.0112174375830205
0.0328269539078157,-0.0110600740286003
0.0415145290581163,-0.0109033993186799
0.0502021042084169,-0.0107474144496739
0.0588896793587175,-0.0105921204047359
0.0675772545090181,-0.0104375181657311
0.0762648296593187,-0.0102836087005011
0.0849524048096193,-0.0101303929498815
0.0936399799599199,-0.00997787182789909
0.102327555110221,-0.0098260462350757
0.111015130260521,-0.00967491705699786
0.119702705410822,-0.00952448516652024
0.128390280561122,-0.00937475142106483
0.137077855711423,-0.00922571666564486
0.145765430861723,-0.00907738172800389
0.154453006012024,-0.00892974740787156
0.163140581162325,-0.00878281447665669
0.171828156312625,-0.0086365836773738
0.180515731462926,-0.00849105572457196
0.189203306613227,-0.00834623130426571
0.197890881763527,-0.00820211107386871
0.206578456913828,-0.00805869566431094
0.215266032064128,-0.00791598569536658
0.223953607214429,-0.0077739817665029
0.23264118236473,-0.00763268444839741
0.24132875751503,-0.00749209428282772
0.250016332665331,-0.00735221178261856
0.258703907815631,-0.00721303743159086
0.267391482965932,-0.0070745716845131
0.276079058116233,-0.00693681496705486
0.284766633266533,-0.00679976767574221
0.293454208416834,-0.0066634301779158
0.302141783567134,-0.00652780281169061
0.310829358717435,-0.00639288588591814
0.319516933867736,-0.00625867968015019
0.328204509018036,-0.00612518444934048
0.336892084168337,-0.00599240043834501
0.345579659318637,-0.00586032786752518
0.354267234468938,-0.00572896692782031
0.362954809619239,-0.00559831778072232
0.371642384769539,-0.00546838055825207
0.38032995991984,-0.00533915536293774
0.38901753507014,-0.00521064226779576
0.397705110220441,-0.0050828413163135
0.406392685370742,-0.0049557525224334
0.415080260521042,-0.00482937587053983
0.423767835671343,-0.00470371131544775
0.432455410821643,-0.00457875878239328
0.441142985971944,-0.00445451816702583
0.449830561122245,-0.00433098933540314
0.458518136272545,-0.0042081721239875
0.467205711422846,-0.00408606633964387
0.475893286573146,-0.0039646717596407
0.484580861723447,-0.003843988131652
0.493268436873748,-0.00372401517376136
0.501956012024048,-0.00360475257446851
0.510643587174349,-0.0034861999926971
0.51933116232465,-0.00336835705780461
0.52801873747495,-0.00325122336959468
0.536706312625251,-0.00313479849833035
0.545393887775551,-0.00301908198475037
0.554081462925852,-0.00290407334008644
0.562769038076153,-0.00278977204608294
0.571456613226453,-0.00267617755501826
0.580144188376754,-0.00256328928972822
0.588831763527054,-0.0024511066436315
0.597519338677355,-0.00233962898075627
0.606206913827656,-0.00222885563576976
0.614894488977956,-0.00211878591400915
0.623582064128257,-0.00200941909151409
0.632269639278557,-0.00190075441506154
0.640957214428858,-0.00179279110220283
0.649644789579158,-0.00168552834130167
0.658332364729459,-0.00157896529157482
0.66701993987976,-0.00147310108313451
0.67570751503006,-0.00136793481703249
0.684395090180361,-0.00126346556530649
0.693082665330661,-0.0011596923710279
0.701770240480962,-0.00105661424835217
0.710457815631263,-0.000954230182570411
0.719145390781563,-0.000852539130163455
0.727832965931864,-0.000751540018857399
0.736520541082164,-0.000651231747681395
0.745208116232465,-0.000551613187027261
0.753895691382766,-0.000452683178711033
0.762583266533066,-0.000354440536036451
0.771270841683367,-0.000256884043860501
0.779958416833668,-0.000160012458660601
0.788645991983968,-6.382450860426e-05
0.797333567134269,3.16811063797417e-05
0.806021142284569,0.000126505714528128
0.81470871743487,0.000220650672167578
0.82339629258517,0.000314117363637577
0.832083867735471,0.000406907201211109
0.840771442885772,0.000499021625013357
0.849459018036072,0.000590462102938381
0.858146593186373,0.00068123013056372
0.866834168336674,0.000771327231063104
0.875521743486974,0.000860754955117033
0.884209318637275,0.000949514880821213
0.892896893787575,0.00103760861359309
0.901584468937876,0.0011250377860762
0.910272044088177,0.0012118040580424
0.918959619238477,0.00129790911629215
0.927647194388778,0.00138335467455257
0.936334769539078,0.00146814247337345
0.945022344689379,0.00155227428002091
0.95370991983968,0.00163575188836927
0.96239749498998,0.00171857711879066
0.971085070140281,0.00180075181804209
0.979772645290582,0.00188227785915091
0.988460220440882,0.00196315714129768
0.997147795591183,0.00204339158969694
1.00583537074148,0.00212298315547581
1.01452294589178,0.00220193381555026
1.02321052104208,0.00228024557249913
1.03189809619239,0.00235792045443606
1.04058567134269,0.00243496051487887
1.04927324649299,0.0025113678326167
1.05796082164329,0.00258714451157508
1.06664839679359,0.00266229268067847
1.07533597194389,0.00273681449371017
1.08402354709419,0.00281071212917057
1.09271112224449,0.00288398779013234
1.10139869739479,0.00295664370409356
1.11008627254509,0.00302868212282837
1.11877384769539,0.00310010532223527
1.12746142284569,0.00317091560218266
1.13614899799599,0.00324111528635218
1.14483657314629,0.00331070672207968
1.15352414829659,0.00337969228019333
1.16221172344689,0.00344807435484924
1.17089929859719,0.00351585536336503
1.1795868737475,0.00358303774605013
1.1882744488978,0.00364962396603386
1.1969620240481,0.003715616509091
1.2056495991984,0.00378101788346462
1.2143371743487,0.00384583061968579
1.223024749499,0.00391005727039169
1.2317123246493,0.00397370041013991
1.2403998997996,0.00403676263522063
1.2490874749499,0.00409924656346608
1.2577750501002,0.00416115483405687
1.2664626252505,0.00422249010732601
1.2751502004008,0.00428325506455962
1.2838377755511,0.00434345240779529
1.2925253507014,0.00440308485961706
1.3012129258517,0.00446215516294839
1.309900501002,0.00452066608084094
1.3185880761523,0.00457862039626169
1.32727565130261,0.00463602091187626
1.33596322645291,0.00469287044982976
1.34465080160321,0.00474917185152442
1.35333837675351,0.00480492797739398
