"discharge","smooth"
0,0.0718575115522154
13.8632657314629,0.070436498192116
27.7265314629259,0.0690154848320167
41.5897971943888,0.0675944714719174
55.4530629258517,0.0661734581118183
69.3163286573146,0.0647524447517188
83.1795943887776,0.0633314313916195
97.0428601202405,0.0619104180315204
110.906125851703,0.0604894046714212
124.769391583166,0.0590683913266414
138.632657314629,0.0576473864503081
152.495923046092,0.0562264419404605
166.359188777555,0.0548056659314694
180.222454509018,0.0533852205514619
194.085720240481,0.0519653194260045
207.948985971944,0.0505462251962404
221.812251703407,0.0491282470509906
235.67551743487,0.0477117382672703
249.538783166333,0.0462970937686364
263.402048897796,0.0448847476996965
277.265314629259,0.043475171016916
291.128580360721,0.0420688690966617
304.991846092184,0.0406663793620637
318.855111823647,0.0392682689300042
332.71837755511,0.0378751322746612
346.581643286573,0.0364875889144485
360.444909018036,0.0351062811225394
374.308174749499,0.0337318716615598
388.171440480962,0.0323650415438121
402.034706212425,0.0310064878185584
415.897971943888,0.029656921388032
429.761237675351,0.0283170648514004
443.624503406814,0.026987650380747
457.487769138277,0.0256694176302819
471.351034869739,0.0243631116797809
485.214300601202,0.0230694810137633
499.077566332665,0.021789275537904
512.940832064128,0.0205232446338627
526.804097795591,0.0192721352542822
540.667363527054,0.0180366900600099
554.530629258517,0.0168176456006306
568.39389498998,0.0156157305397224
582.257160721443,0.0144316639262635
596.120426452906,0.0132661535135619
609.983692184369,0.0121198941261314
623.846957915832,0.0109935660776871
637.710223647295,0.00988783364167928
651.573489378757,0.00880334357411966
665.43675511022,0.00774072369049343
679.300020841683,0.0067005814979494
693.163286573146,0.00568350288384231
707.026552304609,0.00469005086036825
720.889818036072,0.00372076436853694
734.753083767535,0.00277615714353027
748.616349498998,0.00185671663908994
762.479615230461,0.000962903012918084
776.342880961924,9.51481739376036e-05
790.206146693387,-0.000746145107938693
804.06941242485,-0.00156060403030574
817.932678156313,-0.00234788652283917
831.795943887776,-0.00310768194452826
845.659209619238,-0.00383971171821533
859.522475350701,-0.00454372990059057
873.385741082164,-0.00521952368720561
887.249006813627,-0.00586691385237979
