"tide_range","smooth"
0.62935,0.0374258185817387
0.629599098196393,0.0372430721124385
0.629848196392786,0.0370603256431382
0.630097294589178,0.0368775791738379
0.630346392785571,0.0366948327045376
0.630595490981964,0.0365120862352373
0.630844589178357,0.036329339765937
0.63109368737475,0.0361465932966368
0.631342785571142,0.0359638468273365
0.631591883767535,0.0357811003580362
0.631840981963928,0.035598353888736
0.632090080160321,0.0354156074194356
0.632339178356713,0.0352328609501354
0.632588276553106,0.0350501144808351
0.632837374749499,0.0348673680115348
0.633086472945892,0.0346846215422346
0.633335571142285,0.0345018750729343
0.633584669338677,0.034319128603634
0.63383376753507,0.0341363821343337
0.634082865731463,0.0339536356650334
0.634331963927856,0.0337708891957331
0.634581062124248,0.0335881427264329
0.634830160320641,0.0334053962571326
0.635079258517034,0.0332226497906082
0.635328356713427,0.0330399035159093
0.63557745490982,0.0328571579227605
0.635826553106212,0.0326744135281997
0.636075651302605,0.0324916708515098
0.636324749498998,0.0323089305805653
0.636573847695391,0.0321261936861785
0.636822945891784,0.0319434611662154
0.637072044088176,0.031760734018542
0.637321142284569,0.0315780132410242
0.637570240480962,0.031395299831528
0.637819338677355,0.0312125947879193
0.638068436873747,0.0310298991094904
0.63831753507014,0.0308472139323001
0.638566633266533,0.0306645406406587
0.638815731462926,0.0304818806451157
0.639064829659319,0.0302992353562202
0.639313927855711,0.030116606184522
0.639563026052104,0.0299339945405703
0.639812124248497,0.0297514018349145
0.64006122244489,0.0295688294781041
0.640310320641283,0.0293862788806884
0.640559418837675,0.029203751453217
0.640808517034068,0.029021248606239
0.641057615230461,0.0288387717509655
0.641306713426854,0.0286563223957447
0.641555811623246,0.0284739022475624
0.641804909819639,0.0282915130376847
0.642054008016032,0.0281091564978747
0.642303106212425,0.0279268344457899
0.642552204408818,0.027744548881937
0.64280130260521,0.0275623018302558
0.643050400801603,0.0273800953150529
0.643299498997996,0.0271979314361893
0.643548597194389,0.0270158124609995
0.643797695390782,0.0268337406793087
0.644046793587174,0.026651718381208
0.644295891783567,0.0264697479228578
0.64454498997996,0.0262878318129484
0.644794088176353,0.0261059725816261
0.645043186372745,0.0259241727592245
0.645292284569138,0.0257424349334708
0.645541382765531,0.0255607618301277
0.645790480961924,0.025379156195288
0.646039579158317,0.025197620775173
0.646288677354709,0.0250161583654831
0.646537775551102,0.0248347718859258
0.646786873747495,0.0246534642753227
0.647035971943888,0.0244722384725812
0.647285070140281,0.0242910974588905
0.647534168336673,0.0241100443258958
0.647783266533066,0.0239290821830544
0.648032364729459,0.0237482141398779
0.648281462925852,0.0235674433416368
0.648530561122244,0.0233867730309938
0.648779659318637,0.0232062064670382
0.64902875751503,0.0230257469088925
0.649277855711423,0.0228453976455436
0.649526953907816,0.0226651620508054
0.649776052104208,0.0224850435134515
0.650025150300601,0.0223050454222743
0.650274248496994,0.0221251711906245
0.650523346693387,0.0219454243046199
0.65077244488978,0.0217658082637915
0.651021543086172,0.0215863265676808
0.651270641282565,0.0214069827356296
0.651519739478958,0.0212277803481948
0.651768837675351,0.0210487229977268
0.652017935871744,0.0208698142765802
0.652267034068136,0.0206910577926617
0.652516132264529,0.0205124572040538
0.652765230460922,0.0203340161789396
0.653014328657315,0.0201557383855045
0.653263426853707,0.0199776275037067
0.6535125250501,0.0197996872531568
0.653761623246493,0.0196219213618042
0.654010721442886,0.019444333557599
0.654259819639278,0.0192669275769211
0.654508917835671,0.0190897071857926
0.654758016032064,0.0189126761567475
0.655007114228457,0.01873583826232
0.65525621242485,0.0185591972805309
0.655505310621243,0.0183827570095459
0.655754408817635,0.0182065212521536
0.656003507014028,0.0180304938111425
0.656252605210421,0.0178546784922111
0.656501703406814,0.0176790791122162
0.656750801603206,0.0175036994906888
0.656999899799599,0.0173285434471603
0.657248997995992,0.0171536148018299
0.657498096192385,0.016978917377575
0.657747194388777,0.0168044549979426
0.65799629258517,0.0166302314864799
0.658245390781563,0.0164562506654662
0.658494488977956,0.0162825163518776
0.658743587174349,0.016109032361304
0.658992685370742,0.015935802509335
0.659241783567134,0.0157628306086328
