YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 04 26 16 10  57  1.6  2.6 99.00 99.00 99.00 999  992.0 999.0 999.0 999.0 99.0 99.00
2010 04 26 16 20  88  1.6  2.8 99.00 99.00 99.00 999  992.0 999.0 999.0 999.0 99.0 99.00
2010 04 26 16 30 100  2.2  2.9 99.00 99.00 99.00 999  992.2 999.0 999.0 999.0 99.0 99.00
2010 04 26 16 40 131  1.7  3.1 99.00 99.00 99.00 999  991.9 999.0 999.0 999.0 99.0 99.00
2010 04 26 16 50 111  2.2  3.4 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 04 26 17 00 103  2.4  3.4 99.00 99.00 99.00 999  991.5  11.4  15.6 999.0 99.0 99.00
2010 04 26 17 10  83  2.8  3.6 99.00 99.00 99.00 999  991.4 999.0 999.0 999.0 99.0 99.00
2010 04 26 17 20  68  2.4  3.0 99.00 99.00 99.00 999  991.2 999.0 999.0 999.0 99.0 99.00
2010 04 26 17 30  78  2.4  3.3 99.00 99.00 99.00 999  990.8 999.0 999.0 999.0 99.0 99.00
2010 04 26 17 40  89  4.1  5.3 99.00 99.00 99.00 999  990.7 999.0 999.0 999.0 99.0 99.00
2010 04 26 17 50  80  3.1  4.6 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 04 26 18 00  77  2.7  3.8 99.00 99.00 99.00 999  990.7  11.8  15.7 999.0 99.0 99.00
2010 04 26 18 10  65  2.7  3.7 99.00 99.00 99.00 999  990.6 999.0 999.0 999.0 99.0 99.00
2010 04 26 18 20  61  2.0  3.0 99.00 99.00 99.00 999  990.6 999.0 999.0 999.0 99.0 99.00
2010 04 26 18 30  50  1.7  2.5 99.00 99.00 99.00 999  990.7 999.0 999.0 999.0 99.0 99.00
2010 04 26 18 40  41  1.3  2.2 99.00 99.00 99.00 999  990.7 999.0 999.0 999.0 99.0 99.00
2010 04 26 18 50  30  0.8  2.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 04 26 19 00  37  0.5  1.2 99.00 99.00 99.00 999  990.6  12.1  15.7 999.0 99.0 99.00
2010 04 26 19 10  25  1.0  2.2 99.00 99.00 99.00 999  990.4 999.0 999.0 999.0 99.0 99.00
