YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 11 01 00 00 254  2.4  3.2 99.00 99.00 99.00 999 9999.0  13.0  14.0 999.0 99.0 99.00
2008 11 01 00 10 262  2.1  2.5 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 00 20 261  2.1  2.5 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 00 30 261  2.1  2.4 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 00 40 274  2.0  2.5 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 00 50 274  2.0  2.4 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 01 00 264  1.7  2.4 99.00 99.00 99.00 999 9999.0  11.5  14.0 999.0 99.0 99.00
2008 11 01 01 10 252  1.7  2.3 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 01 20 246  2.1  2.6 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 01 30 237  2.0  2.5 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 01 40 235  2.3  2.8 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 01 50 237  2.4  2.8 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 02 00 237  2.2  2.7 99.00 99.00 99.00 999 9999.0  11.4  14.0 999.0 99.0 99.00
2008 11 01 02 10 239  2.3  3.2 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 02 20 230  1.7  2.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 02 30 235  1.9  2.4 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 02 40 241  1.5  2.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 02 50 252  1.6  2.2 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 03 00 243  1.9  2.6 99.00 99.00 99.00 999 9999.0  11.1  14.0 999.0 99.0 99.00
2008 11 01 03 10 232  2.4  2.9 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 03 20 239  2.6  3.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 03 30 240  2.5  3.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 03 40 235  2.0  2.6 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 03 50 237  1.8  2.4 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 11 01 04 00 254  2.0  2.7 99.00 99.00 99.00 999 9999.0  11.0  14.0 999.0 99.0 99.00
