YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 06 09 18 10 167  4.0  4.8 99.00 99.00 99.00 999 1010.9  30.8 999.0 999.0 99.0 99.00
2011 06 09 18 20 163  3.5  4.5 99.00 99.00 99.00 999 1010.7 999.0 999.0 999.0 99.0 99.00
2011 06 09 18 30 153  3.0  4.0 99.00 99.00 99.00 999 1010.5 999.0 999.0 999.0 99.0 99.00
2011 06 09 18 40 194  3.9  6.0 99.00 99.00 99.00 999 1010.3 999.0 999.0 999.0 99.0 99.00
2011 06 09 18 50 204  5.6  7.3 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2011 06 09 19 00 208  5.4  6.9 99.00 99.00 99.00 999 1010.1  30.5  27.0 999.0 99.0 99.00
2011 06 09 19 10 210  5.3  6.5 99.00 99.00 99.00 999 1010.0 999.0 999.0 999.0 99.0 99.00
2011 06 09 19 20 210  5.1  5.7 99.00 99.00 99.00 999 1009.9 999.0 999.0 999.0 99.0 99.00
2011 06 09 19 30 212  4.8  5.6 99.00 99.00 99.00 999 1009.8 999.0 999.0 999.0 99.0 99.00
2011 06 09 19 40 204  5.3  6.1 99.00 99.00 99.00 999 1009.7 999.0 999.0 999.0 99.0 99.00
2011 06 09 19 50 207  5.9  7.3 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2011 06 09 20 00 209  5.3  6.4 99.00 99.00 99.00 999 1009.4  31.1  26.5 999.0 99.0 99.00
2011 06 09 20 10 206  5.5  6.0 99.00 99.00 99.00 999 1009.3 999.0 999.0 999.0 99.0 99.00
2011 06 09 20 20 208  5.2  5.7 99.00 99.00 99.00 999 1009.2 999.0 999.0 999.0 99.0 99.00
2011 06 09 20 30 210  4.9  5.5 99.00 99.00 99.00 999 1009.1 999.0 999.0 999.0 99.0 99.00
2011 06 09 20 40 212  4.2  5.0 99.00 99.00 99.00 999 1009.1 999.0 999.0 999.0 99.0 99.00
2011 06 09 20 50 212  4.4  5.4 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2011 06 09 21 00 216  5.3  6.1 99.00 99.00 99.00 999 1009.1  31.4  25.9 999.0 99.0 99.00
2011 06 09 21 10 221  4.6  5.8 99.00 99.00 99.00 999 1009.2 999.0 999.0 999.0 99.0 99.00
2011 06 09 21 20 224  4.5  5.0 99.00 99.00 99.00 999 1009.3 999.0 999.0 999.0 99.0 99.00
2011 06 09 21 30 229  4.0  4.7 99.00 99.00 99.00 999 1009.2 999.0 999.0 999.0 99.0 99.00
2011 06 09 21 40 227  3.8  4.3 99.00 99.00 99.00 999 1009.2 999.0 999.0 999.0 99.0 99.00
2011 06 09 21 50 226  3.8  4.5 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2011 06 09 22 00 225  4.1  5.2 99.00 99.00 99.00 999 1009.1  31.4  26.0 999.0 99.0 99.00
2011 06 09 22 10 223  3.9  4.4 99.00 99.00 99.00 999 1009.0 999.0 999.0 999.0 99.0 99.00
2011 06 09 22 20 221  3.8  4.6 99.00 99.00 99.00 999 1009.0 999.0 999.0 999.0 99.0 99.00
2011 06 09 22 30 220  3.8  4.8 99.00 99.00 99.00 999 1009.0 999.0 999.0 999.0 99.0 99.00
2011 06 09 22 40 220  4.0  4.6 99.00 99.00 99.00 999 1009.0 999.0 999.0 999.0 99.0 99.00
2011 06 09 22 50 215  4.1  4.8 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
