"discharge","smooth"
116.56785,0.0747014630490922
130.209807715431,0.0730775623730059
143.851765430862,0.0714536858731796
157.493723146293,0.0698299134055806
171.135680861723,0.0682063840883128
184.777638577154,0.0665832936680124
198.419596292585,0.0649608918994883
212.061554008016,0.0633394799390094
225.703511723447,0.0617194077517277
239.345469438878,0.0601010715338387
252.987427154309,0.0584849111506473
266.629384869739,0.0568714075912817
280.27134258517,0.055261080438095
293.913300300601,0.0536544853553228
307.555258016032,0.0520522115972203
321.197215731463,0.0504548795364156
334.839173446894,0.0488631382136494
348.481131162325,0.0472776629101349
362.123088877755,0.045699152743824
375.765046593186,0.044128328290951
389.407004308617,0.042565929234577
403.048962024048,0.0410127120402906
416.690919739479,0.0394694476613466
430.33287745491,0.0379369192752832
443.974835170341,0.0364159200530059
457.616792885771,0.0349072509618645
471.258750601202,0.0334117186042418
484.900708316633,0.0319301330932084
498.542666032064,0.0304633059667736
512.184623747495,0.0290120481422177
525.826581462926,0.0275771679118961
539.468539178357,0.0261594689824719
553.110496893788,0.0247597485589825
566.752454609218,0.023378795475133
580.394412324649,0.0220173883712849
594.03637004008,0.0206762939215974
607.678327755511,0.0193562651117285
621.320285470942,0.0180580395684821
634.962243186373,0.0167823379426597
648.604200901804,0.0155298623458636
662.246158617234,0.0143012948439874
675.888116332665,0.0130972960079982
689.530074048096,0.0119185035225853
703.172031763527,0.0107655308541104
716.813989478958,0.00963896597890238
730.455947194389,0.00853937017287699
744.09790490982,0.00746727686339798
757.73986262525,0.00642319054422319
771.381820340681,0.00540758575369005
785.023778056112,0.0044209061175414
798.665735771543,0.00346356345852272
812.307693486974,0.00253593697095824
825.949651202405,0.00163837246149289
839.591608917836,0.000771181656522268
853.233566633266,-6.5358423359521e-05
866.875524348697,-0.000871006021646028
880.517482064128,-0.00164555513677053
894.159439779559,-0.0023888359456605
907.80139749499,-0.00310071516077524
921.443355210421,-0.0037810963176378
935.085312925852,-0.00442991999535077
948.727270641283,-0.00504716397065543
962.369228356713,-0.00563284330531683
976.011186072144,-0.00618701036726178
989.653143787575,-0.00670975478597321
1003.29510150301,-0.00720120334274208
1016.93705921844,-0.00766151979647727
1030.57901693387,-0.00809090464666705
1044.2209746493,-0.00848959483282475
1057.86293236473,-0.00885786337063014
1071.50489008016,-0.00919601892819866
1085.14684779559,-0.00950440534260621
1098.78880551102,-0.00978340107775259
1112.43076322645,-0.0100334186248152
1126.07272094188,-0.0102549038466105
1139.71467865731,-0.0104483352672592
1153.35663637275,-0.0106142233088877
1166.99859408818,-0.0107531094772549
1180.64055180361,-0.0108655654954014
1194.28250951904,-0.0109521923894952
1207.92446723447,-0.01101361952836
1221.5664249499,-0.0110505036181085
1235.20838266533,-0.0110635276537396
1248.85034038076,-0.0110533998296015
1262.49229809619,-0.0110208524106819
1276.13425581162,-0.0109666403571715
1289.77621352705,-0.0108915355288995
1303.41817124248,-0.0107963254599418
1317.06012895792,-0.0106818166811686
1330.70208667335,-0.0105488336344325
1344.34404438878,-0.0103982173524255
1357.98600210421,-0.0102308241142307
1371.62795981964,-0.0100475240788148
1385.26991753507,-0.00984919989874109
1398.9118752505,-0.00963674531638975
1412.55383296593,-0.00941106374508572
1426.19579068136,-0.00917306683735212
1439.83774839679,-0.00892367304216484
1453.47970611222,-0.0086638061543514
1467.12166382766,-0.00839439379560588
1480.76362154309,-0.00811636543398763
1494.40557925852,-0.00783065118882847
1508.04753697395,-0.007538180685008
1521.68949468938,-0.00723988159974289
1535.33145240481,-0.00693667821196583
1548.97341012024,-0.00662948995953698
1562.61536783567,-0.00631923000689311
1576.2573255511,-0.00600680382548149
1589.89928326653,-0.00569310778888225
1603.54124098196,-0.00537902820472662
1617.18319869739,-0.00506544308575007
1630.82515641283,-0.00475321903585499
1644.46711412826,-0.004443208145718
1658.10907184369,-0.00413624667984469
1671.75102955912,-0.00383315380421001
1685.39298727455,-0.00353473034281124
1699.03494498998,-0.0032417575662699
1712.67690270541,-0.00295499601283862
1726.31886042084,-0.00267518434385478
1739.96081813627,-0.0024030382354173
1753.6027758517,-0.0021392494039629
1767.24473356713,-0.00188448923245627
1780.88669128256,-0.00163940986540005
1794.528648998,-0.00140463907961612
1808.17060671343,-0.00118078556673022
1821.81256442886,-0.000968431533638149
1835.45452214429,-0.000768133089514107
1849.09647985972,-0.000580425303804984
1862.73843757515,-0.000405813755334395
1876.38039529058,-0.000244778864863832
1890.02235300601,-9.77875858940373e-05
1903.66431072144,3.47209279134933e-05
1917.30626843687,0.000152340963092837
1930.9482261523,0.000254697884557317
1944.59018386774,0.000341440522425583
1958.23214158317,0.000412249782516107
1971.8740992986,0.000466837191195213
1985.51605701403,0.000504938784238056
1999.15801472946,0.000526324404027865
2012.79997244489,0.000530799452092279
2026.44193016032,0.000518204969482286
2040.08388787575,0.000488417661549246
2053.72584559118,0.000441349867371932
2067.36780330661,0.000376949474644467
2081.00976102204,0.000295199777273364
2094.65171873747,0.000196119278368513
2108.29367645291,7.97614392188645e-05
2121.93563416834,-5.37856257772081e-05
2135.57759188377,-0.000204399616649075
2149.2195495992,-0.00037193054223726
2162.86150731463,-0.000556210528096115
2176.50346503006,-0.000757050705863851
2190.14542274549,-0.000974247918381406
2203.78738046092,-0.00120757740538365
2217.42933817635,-0.00145678366866032
2231.07129589178,-0.00172158085684994
2244.71325360721,-0.00200165352183758
2258.35521132265,-0.00229665742026126
2271.99716903808,-0.00260622035887282
2285.63912675351,-0.00292994308243085
2299.28108446894,-0.00326740189786744
2312.92304218437,-0.00361815586864893
2326.5649998998,-0.00398174221178135
2340.20695761523,-0.00435767503065929
2353.84891533066,-0.00474544639356682
2367.49087304609,-0.00514452744550846
2381.13283076152,-0.0055543695516491
2394.77478847695,-0.00597440623598593
2408.41674619238,-0.00640405883421803
2422.05870390782,-0.00684273561319214
2435.70066162325,-0.00728983458055896
2449.34261933868,-0.00774474170154141
2462.98457705411,-0.00820683472184222
2476.62653476954,-0.00867548903373432
2490.26849248497,-0.00915007315849128
2503.9104502004,-0.0096299473107771
2517.55240791583,-0.0101144658680246
2531.19436563126,-0.0106029808931952
2544.83632334669,-0.0110948412374327
2558.47828106212,-0.0115893937292939
2572.12023877755,-0.0120859839851699
2585.76219649299,-0.0125839575130606
2599.40415420842,-0.0130826608345414
2613.04611192385,-0.013581442355389
2626.68806963928,-0.0140796543866633
2640.33002735471,-0.014576653430623
2653.97198507014,-0.0150717988225565
2667.61394278557,-0.0155644568653995
2681.255900501,-0.0160540033836715
2694.89785821643,-0.0165398250692238
2708.53981593186,-0.0170213208066464
2722.18177364729,-0.0174979029815767
2735.82373136273,-0.0179689987702836
2749.46568907816,-0.0184340514093469
2763.10764679359,-0.0188925214435274
2776.74960450902,-0.0193438879502123
2790.39156222445,-0.0197876485839977
2804.03351993988,-0.0202233112675699
2817.67547765531,-0.020650397897293
2831.31743537074,-0.0210684531318858
2844.95939308617,-0.0214770458792771
2858.6013508016,-0.0218757675204385
2872.24330851703,-0.0222642276043344
2885.88526623246,-0.0226420615299361
2899.5272239479,-0.023008932956235
2913.16918166333,-0.0233645332002542
2926.81113937876,-0.0237085685872652
2940.45309709419,-0.0240407579366442
2954.09505480962,-0.0243608359014965
2967.73701252505,-0.0246685538332693
2981.37897024048,-0.0249636885103629
