"","Day","Date","flow","Discharge","Discharge_log"
"145",145,"05-25",3500,99.05,1.9959
"146",146,"05-26",3500,99.05,1.9959
"147",147,"05-27",3500,99.05,1.9959
"148",148,"05-28",3500,99.05,1.9959
"149",149,"05-29",3500,99.05,1.9959
"150",150,"05-30",10000,283,2.4518
"151",151,"05-31",10000,283,2.4518
"152",152,"06-01",10000,283,2.4518
"153",153,"06-02",10000,283,2.4518
"154",154,"06-03",10000,283,2.4518
"155",155,"06-04",10000,283,2.4518
"156",156,"06-05",10000,283,2.4518
"157",157,"06-06",10000,283,2.4518
"158",158,"06-07",10000,283,2.4518
"159",159,"06-08",10000,283,2.4518
"160",160,"06-09",10000,283,2.4518
"161",161,"06-10",10000,283,2.4518
"162",162,"06-11",10000,283,2.4518
"163",163,"06-12",10000,283,2.4518
"164",164,"06-13",10000,283,2.4518
"165",165,"06-14",10000,283,2.4518
"166",166,"06-15",10000,283,2.4518
"167",167,"06-16",10000,283,2.4518
"168",168,"06-17",10000,283,2.4518
"169",169,"06-18",10000,283,2.4518
"170",170,"06-19",10000,283,2.4518
"171",171,"06-20",10000,283,2.4518
"172",172,"06-21",10000,283,2.4518
"173",173,"06-22",10000,283,2.4518
"174",174,"06-23",10000,283,2.4518
"175",175,"06-24",10000,283,2.4518
"176",176,"06-25",10000,283,2.4518
"177",177,"06-26",10000,283,2.4518
"178",178,"06-27",10000,283,2.4518
"179",179,"06-28",10000,283,2.4518
"180",180,"06-29",7500,212.25,2.3268
"181",181,"06-30",7500,212.25,2.3268
"182",182,"07-01",7500,212.25,2.3268
"183",183,"07-02",7500,212.25,2.3268
"184",184,"07-03",7500,212.25,2.3268
"185",185,"07-04",7500,212.25,2.3268
"186",186,"07-05",7500,212.25,2.3268
"187",187,"07-06",7500,212.25,2.3268
"188",188,"07-07",7500,212.25,2.3268
"189",189,"07-08",7500,212.25,2.3268
"190",190,"07-09",7500,212.25,2.3268
"191",191,"07-10",7500,212.25,2.3268
"192",192,"07-11",7500,212.25,2.3268
"193",193,"07-12",7500,212.25,2.3268
"194",194,"07-13",7500,212.25,2.3268
"195",195,"07-14",7500,212.25,2.3268
"196",196,"07-15",7500,212.25,2.3268
"197",197,"07-16",7500,212.25,2.3268
"198",198,"07-17",7500,212.25,2.3268
"199",199,"07-18",7500,212.25,2.3268
"200",200,"07-19",7500,212.25,2.3268
"201",201,"07-20",7500,212.25,2.3268
