YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
yr  mo dy hr   mn     m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2008 11 03 15 00     1.0 99.00 999.00 99.00 999.0 99.00   3.00     3 99.00 99.00
2008 11 03 16 00     1.0 99.00 999.00 99.00 999.0 10.40   2.50     3 99.00 99.00
2008 11 03 17 00     1.0 99.00 999.00 99.00 999.0 10.50   2.30     2 99.00 99.00
2008 11 03 18 00     1.0 99.00 999.00 99.00 999.0 10.30   3.00     2 99.00 99.00
2008 11 03 19 00     1.0 99.00 999.00 99.00 999.0 10.90   3.20     2 99.00 99.00
2008 11 03 20 00     1.0 99.00 999.00 99.00 999.0 10.20   3.80     2 99.00 99.00
2008 11 03 21 00     1.0 99.00 999.00 99.00 999.0  9.90   4.00     2 99.00 99.00
2008 11 03 22 00     1.0 99.00 999.00 99.00 999.0  9.50   3.70     2 99.00 99.00
2008 11 03 23 00     1.0 99.00 999.00 99.00 999.0  9.40   3.70     2 99.00 99.00
2008 11 04 00 00     1.0 99.00 999.00 99.00 999.0  9.20   3.20     3 99.00 99.00
2008 11 04 01 00     1.0 99.00 999.00 99.00 999.0  9.20   3.30     3 99.00 99.00
2008 11 04 02 00     1.0 99.00 999.00 99.00 999.0  9.10   4.30     3 99.00 99.00
2008 11 04 03 00     1.0 99.00 999.00 99.00 999.0  9.30   5.70     4 99.00 99.00
2008 11 04 04 00     1.0 99.00 999.00 99.00 999.0  9.40   6.00     3 99.00 99.00
2008 11 04 05 00     1.0 99.00 999.00 99.00 999.0  9.40   6.60     3 99.00 99.00
2008 11 04 06 00     1.0 99.00 999.00 99.00 999.0  9.30   6.20     3 99.00 99.00
2008 11 04 07 00     1.0 99.00 999.00 99.00 999.0  9.30   5.90     3 99.00 99.00
2008 11 04 13 00     1.0 99.00 999.00 99.00 999.0  9.30   4.90     3 99.00 99.00
2008 11 04 14 00     1.0 99.00 999.00 99.00 999.0  9.40   4.90     3 99.00 99.00
2008 11 04 15 00     1.0 99.00 999.00 99.00 999.0  9.40   4.80     3 99.00 99.00
2008 11 04 16 00     1.0 99.00 999.00 99.00 999.0  9.50   5.50     2 99.00 99.00
2008 11 04 17 00     1.0 99.00 999.00 99.00 999.0  9.60   5.40     2 99.00 99.00
2008 11 04 18 00     1.0 99.00 999.00 99.00 999.0  9.60   5.10     2 99.00 99.00
2008 11 04 19 00     1.0 99.00 999.00 99.00 999.0  9.50   5.00     2 99.00 99.00
2008 11 04 20 00     1.0 99.00 999.00 99.00 999.0  9.80   7.10     2 99.00 99.00
2008 11 04 21 00     1.0 99.00 999.00 99.00 999.0  9.70   6.80     2 99.00 99.00
2008 11 04 22 00     1.0 99.00 999.00 99.00 999.0  9.80   7.40     2 99.00 99.00
2008 11 04 23 00     1.0 99.00 999.00 99.00 999.0  9.90   6.20     2 99.00 99.00
2008 11 05 00 00     1.0 99.00 999.00 99.00 999.0  9.90   5.70     2 99.00 99.00
2008 11 05 01 00     1.0 99.00 999.00 99.00 999.0  9.80   4.30     2 99.00 99.00
2008 11 05 02 00     1.0 99.00 999.00 99.00 999.0  9.60   5.10     2 99.00 99.00
2008 11 05 03 00     1.0 99.00 999.00 99.00 999.0  9.40  19.70    21 99.00 99.00
2008 11 05 04 00     1.0 99.00 999.00 99.00 999.0  9.30   5.10     3 99.00 99.00
2008 11 05 05 00     1.0 99.00 999.00 99.00 999.0  9.40   4.90     3 99.00 99.00
2008 11 05 06 00     1.0 99.00 999.00 99.00 999.0  9.40   4.50     2 99.00 99.00
2008 11 05 07 00     1.0 99.00 999.00 99.00 999.0  9.50   4.40     2 99.00 99.00
