YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 03 22 03 40 352  0.0  0.4 99.00 99.00 99.00 999 1017.5   4.9 999.0 999.0 99.0 99.00
2014 03 22 03 50   7  0.3  0.9 99.00 99.00 99.00 999 1017.4   4.7 999.0 999.0 99.0 99.00
2014 03 22 04 00  52  0.6  1.2 99.00 99.00 99.00 999 1017.4   4.7   5.8 999.0 99.0 99.00
2014 03 22 04 10  61  1.0  1.3 99.00 99.00 99.00 999 1017.3   4.4 999.0 999.0 99.0 99.00
2014 03 22 04 20  73  0.7  0.9 99.00 99.00 99.00 999 1017.3   4.2 999.0 999.0 99.0 99.00
2014 03 22 04 30  43  0.8  1.1 99.00 99.00 99.00 999 1017.2   4.1 999.0 999.0 99.0 99.00
2014 03 22 04 40  41  0.7  1.1 99.00 99.00 99.00 999 1017.0   3.9 999.0 999.0 99.0 99.00
2014 03 22 04 50  26  0.7  1.1 99.00 99.00 99.00 999 1016.8   3.8 999.0 999.0 99.0 99.00
2014 03 22 05 00  21  0.7  0.9 99.00 99.00 99.00 999 1016.7   3.7   5.7 999.0 99.0 99.00
2014 03 22 05 10  17  0.9  1.3 99.00 99.00 99.00 999 1016.6   3.6 999.0 999.0 99.0 99.00
2014 03 22 05 20  25  0.7  0.9 99.00 99.00 99.00 999 1016.5   3.5 999.0 999.0 99.0 99.00
2014 03 22 05 30   8  0.9  1.1 99.00 99.00 99.00 999 1016.5   3.2 999.0 999.0 99.0 99.00
2014 03 22 05 40  11  0.6  0.9 99.00 99.00 99.00 999 1016.4   3.4 999.0 999.0 99.0 99.00
2014 03 22 05 50  18  0.9  1.2 99.00 99.00 99.00 999 1016.3   3.4 999.0 999.0 99.0 99.00
2014 03 22 06 00  27  1.0  1.4 99.00 99.00 99.00 999 1016.1   3.3   5.8 999.0 99.0 99.00
2014 03 22 06 10  41  0.9  1.1 99.00 99.00 99.00 999 1015.9   3.4 999.0 999.0 99.0 99.00
2014 03 22 06 20  19  0.7  1.1 99.00 99.00 99.00 999 1015.7   3.3 999.0 999.0 99.0 99.00
